iter	Passed	Remaining
527	854	764
528	856	762
529	857	760
530	858	758
531	860	756
532	861	755
533	863	753
534	864	751
535	865	749
536	866	747
537	867	745
538	869	743
539	870	741
540	871	739
541	873	737
542	874	735
543	875	734
544	877	732
545	878	730
546	879	728
547	880	726
548	881	724
549	883	722
550	884	720
551	885	718
552	886	716
553	887	714
554	888	712
555	890	711
556	891	709
557	892	707
558	894	705
559	895	703
560	896	701
561	898	699
562	899	698
563	900	696
564	901	694
565	903	692
566	904	690
567	907	689
568	908	688
569	910	686
570	911	684
571	912	682
572	913	681
573	914	679
574	916	677
575	917	675
576	918	673
577	919	671
578	922	670
579	923	669
580	925	667
581	926	665
582	927	663
583	928	661
584	930	659
585	931	657
586	932	656
587	934	654
588	935	652
589	937	651
590	938	649
591	939	647
592	941	645
593	942	644
594	943	642
595	944	640
596	946	638
597	947	636
598	948	634
599	949	633
600	950	631
601	952	629
602	953	627
603	954	626
604	956	624
605	957	622
606	958	620
607	959	618
608	961	617
609	962	615
610	963	613
611	964	611
612	966	610
613	967	608
614	969	606
615	970	604
616	971	603
617	973	601
618	975	600
619	977	599
620	979	597
621	980	595
622	981	594
623	983	592
624	984	590
625	1001	598
626	1003	596
627	1004	595
628	1006	593
629	1008	592
630	1009	590
631	1010	588
632	1012	586
633	1014	585
634	1016	584
635	1018	582
636	1019	580
637	1021	579
638	1023	578
639	1024	576
640	1025	574
641	1028	573
642	1030	571
643	1032	570
644	1033	568
645	1035	567
646	1036	565
647	1038	563
648	1039	562
649	1043	561
650	1045	560
651	1046	558
652	1048	557
653	1050	555
654	1051	553
655	1052	552
656	1054	550
657	1055	548
658	1058	547
659	1059	546
660	1061	544
661	1062	542
662	1063	540
663	1065	538
664	1066	537
665	1067	535
666	1069	533
667	1071	532
668	1072	530
669	1074	529
670	1076	527
671	1077	526
672	1079	524
673	1080	522
674	1082	521
675	1083	519
676	1085	518
677	1088	516
678	1090	515
679	1091	513
680	1093	512
681	1094	510
682	1096	508
683	1097	507
684	1099	505
685	1100	503
686	1102	502
687	1104	500
688	1105	499
689	1107	497
690	1108	495
691	1109	493
692	1110	492
693	1112	490
694	1114	488
695	1115	487
696	1118	486
697	1120	484
698	1123	483
699	1125	482
700	1127	480
701	1128	479
702	1129	477
703	1131	475
704	1133	474
705	1135	472
706	1136	470
707	1137	469
708	1138	467
709	1140	465
710	1141	464
711	1142	462
712	1144	460
713	1145	458
714	1146	456
715	1148	455
716	1149	453
717	1150	452
718	1152	450
719	1153	448
720	1154	446
721	1155	444
722	1156	443
723	1158	441
724	1159	439
725	1160	438
726	1162	436
727	1164	434
728	1165	433
729	1166	431
730	1168	429
731	1169	428
732	1170	426
733	1171	424
734	1172	422
735	1174	421
736	1175	419
737	1177	417
738	1178	416
739	1180	414
740	1181	412
741	1182	411
742	1183	409
743	1184	407
744	1186	405
745	1187	404
746	1188	402
747	1189	400
748	1191	399
749	1194	398
750	1195	396
751	1196	394
752	1198	393
753	1199	391
754	1200	389
755	1202	387
756	1203	386
757	1204	384
758	1206	382
759	1207	381
760	1209	379
761	1211	378
762	1212	376
763	1213	374
764	1214	373
765	1215	371
766	1216	369
767	1217	367
768	1219	366
769	1220	364
770	1222	363
771	1224	361
772	1225	359
773	1226	358
774	1227	356
775	1228	354
776	1229	352
777	1230	351
778	1231	349
779	1232	347
780	1234	346
781	1235	344
782	1237	342
783	1238	341
784	1239	339
785	1240	337
786	1242	336
787	1243	334
788	1244	332
789	1245	331
790	1246	329
791	1247	327
792	1249	326
793	1250	324
794	1251	322
795	1253	321
796	1254	319
797	1256	317
798	1257	316
799	1258	314
800	1259	312
801	1260	311
802	1261	309
803	1262	307
804	1263	306
805	1265	304
806	1266	302
807	1267	301
808	1268	299
809	1269	297
810	1270	296
811	1271	294
812	1273	292
813	1274	291
814	1275	289
815	1276	287
816	1277	286
817	1278	284
818	1279	282
819	1280	281
820	1282	279
821	1283	277
822	1284	276
823	1285	274
824	1286	272
825	1287	271
826	1288	269
827	1290	268
828	1291	266
829	1292	264
830	1293	263
831	1295	261
832	1296	259
833	1298	258
834	1299	256
835	1300	255
836	1301	253
837	1303	251
838	1304	250
839	1305	248
840	1306	247
841	1307	245
842	1308	243
843	1310	242
844	1312	240
845	1313	239
846	1314	237
847	1315	235
848	1316	234
849	1318	232
850	1319	231
851	1320	229
852	1321	227
853	1323	226
854	1324	224
855	1326	223
856	1327	221
857	1328	219
858	1330	218
859	1331	216
860	1332	215
861	1333	213
862	1335	211
863	1336	210
864	1337	208
865	1338	207
866	1340	205
867	1341	204
868	1343	202
869	1346	201
870	1349	199
871	1353	198
872	1358	197
873	1362	196
874	1363	194
875	1364	193
876	1365	191
877	1366	189
878	1368	188
879	1369	186
880	1371	185
881	1372	183
882	1374	182
883	1375	180
884	1376	178
885	1377	177
886	1378	175
887	1379	174
888	1380	172
889	1381	170
890	1382	169
891	1384	167
892	1385	166
893	1387	164
894	1388	162
895	1389	161
896	1390	159
897	1391	158
898	1392	156
899	1393	154
900	1394	153
901	1395	151
902	1396	150
903	1398	148
904	1399	146
905	1401	145
906	1402	143
907	1403	142
908	1404	140
909	1405	139
910	1406	137
911	1408	135
912	1409	134
913	1410	132
914	1411	131
915	1412	129
916	1414	128
917	1416	126
918	1417	124
919	1418	123
920	1419	121
921	1421	120
922	1422	118
923	1423	117
924	1425	115
925	1426	113
926	1427	112
927	1429	110
928	1431	109
929	1433	107
930	1434	106
931	1435	104
932	1436	103
933	1438	101
934	1439	100
935	1440	98
936	1441	96
937	1443	95
938	1445	93
939	1446	92
940	1448	90
941	1449	89
942	1450	87
943	1452	86
944	1453	84
945	1454	83
946	1455	81
947	1456	79
948	1457	78
949	1459	76
950	1461	75
951	1463	73
952	1464	72
953	1466	70
954	1467	69
955	1468	67
956	1469	66
957	1471	64
958	1472	62
959	1474	61
960	1476	59
961	1478	58
962	1480	56
963	1481	55
964	1482	53
965	1483	52
966	1484	50
967	1485	49
968	1487	47
969	1489	46
970	1491	44
971	1493	43
972	1494	41
973	1495	39
974	1497	38
975	1498	36
976	1500	35
977	1501	33
978	1503	32
979	1505	30
980	1507	29
981	1508	27
982	1510	26
983	1511	24
984	1512	23
985	1513	21
986	1515	19
987	1516	18
988	1520	16
989	1522	15
990	1523	13
991	1525	12
992	1526	10
993	1527	9
994	1529	7
995	1530	6
996	1532	4
997	1533	3
998	1535	1
999	1537	0
